86,	0.74,	59.38,	1.55,	2.36
87,	0.51,	75.00,	1.80,	2.47
88,	0.38,	78.12,	1.74,	2.39
89,	0.80,	62.50,	2.30,	2.12
90,	0.30,	84.38,	2.09,	2.17
91,	0.50,	75.00,	1.71,	2.26
92,	0.52,	75.00,	1.83,	2.20
93,	0.54,	65.62,	1.95,	2.36
94,	0.48,	78.12,	1.98,	2.25
95,	0.56,	65.62,	1.86,	2.34
96,	0.48,	68.75,	2.11,	2.28
97,	0.63,	65.62,	2.23,	2.27
98,	0.46,	75.00,	2.08,	2.47
99,	0.39,	78.12,	1.94,	2.39
100,	0.63,	68.75,	1.69,	2.10
101,	0.81,	59.38,	2.03,	2.35
102,	0.54,	68.75,	2.12,	2.33
103,	0.64,	62.50,	2.06,	2.15
104,	0.70,	68.75,	2.04,	2.13
105,	0.86,	65.62,	1.62,	2.42
106,	0.71,	65.62,	1.98,	2.34
107,	0.40,	87.50,	1.92,	2.18
108,	0.61,	68.75,	2.10,	2.12
109,	0.41,	71.88,	1.74,	2.11
110,	1.10,	62.50,	2.06,	2.36
111,	0.57,	65.62,	2.11,	2.21
112,	0.45,	75.00,	1.69,	2.18
113,	0.87,	56.25,	2.29,	2.16
114,	0.40,	78.12,	2.13,	2.43
115,	0.45,	75.00,	1.61,	2.07
116,	0.98,	53.12,	1.54,	2.06
117,	0.62,	68.75,	2.17,	2.13
118,	0.66,	65.62,	1.67,	2.21
119,	0.63,	68.75,	1.40,	2.29
120,	0.57,	65.62,	1.75,	2.18
121,	0.44,	78.12,	1.55,	2.33
122,	0.87,	59.38,	1.86,	2.24
123,	0.80,	62.50,	2.15,	2.28
124,	0.59,	71.88,	2.11,	2.39
125,	0.62,	68.75,	1.71,	2.26
126,	0.71,	65.62,	1.60,	1.98
127,	0.58,	68.75,	1.59,	2.14
128,	0.75,	65.62,	1.73,	2.12
129,	0.48,	71.88,	1.46,	2.15
130,	0.63,	65.62,	1.23,	2.01
131,	0.76,	65.62,	1.59,	2.07
132,	0.51,	75.00,	1.94,	2.42
133,	0.83,	59.38,	1.80,	2.00
134,	0.85,	59.38,	1.80,	2.24
135,	0.50,	75.00,	1.78,	2.24
136,	0.87,	50.00,	1.83,	1.95
137,	0.74,	56.25,	1.71,	2.09
138,	0.88,	65.62,	1.83,	1.95
139,	0.62,	65.62,	1.61,	2.05
140,	0.61,	65.62,	1.79,	2.36
141,	0.61,	59.38,	1.52,	1.93
142,	0.60,	68.75,	1.28,	2.28
143,	0.54,	71.88,	1.26,	2.01
144,	0.61,	56.25,	1.48,	2.06
145,	0.91,	53.12,	1.86,	1.55
146,	0.66,	62.50,	1.74,	1.91
147,	0.68,	62.50,	1.36,	2.05
148,	0.72,	62.50,	1.61,	2.08
149,	0.54,	75.00,	1.27,	2.20
